V1,expert1,expert2,expert3,expert4,expert5,expert6,expert7,expert8,expert9,expert10,Min,Mean,Median,Max,no-interaction,stud-prof,stud-stud,stud-obj,interaction-estimated
img1.jpg,40,20,10,20,30,10,10,43,20,20,10,22.3,20,43,0,0,0,100,100
img2.jpg,20,20,0,60,0,5,0,11,50,20,0,18.6,15.5,60,0,0,0,100,100
img3.jpg,70,80,30,60,0,40,90,22,70,20,0,48.2,50,90,0,0,0,100,100
img4.jpg,50,80,30,60,0,10,0,22,70,20,0,34.2,26,80,15.38,0,0,84.62,69.23
img5.jpg,30,80,100,80,100,100,100,0,100,90,0,78,95,100,14.29,0,0,85.71,71.43
img6.jpg,30,80,10,60,15,10,60,59,86,50,10,46,54.5,86,16.67,0,0,83.33,66.67
img7.jpg,30,80,10,60,0,15,0,22,86,50,0,35.3,26,86,18.18,0,0,81.82,63.64
img8.jpg,30,80,10,70,0,15,0,33,86,60,0,38.4,31.5,86,7.14,0,7.14,85.71,85.71
img9.jpg,30,80,10,70,0,15,0,11,86,50,0,35.2,22.5,86,7.14,0,14.29,78.57,85.71
img10.jpg,20,80,10,80,0,15,0,0,86,50,0,34.1,17.5,86,6.67,0,6.67,86.67,86.67
img11.jpg,20,80,10,60,0,10,0,11,86,50,0,32.7,15.5,86,13.33,0,6.67,80,73.33
img12.jpg,30,80,10,50,0,10,0,17,90,45,0,33.2,23.5,90,7.69,0,0,92.31,84.62
img13.jpg,40,75,5,60,20,5,0,33,60,40,0,33.8,36.5,75,21.43,0,7.14,71.43,57.14
img14.jpg,40,20,1,40,0,5,0,33,60,25,0,22.4,22.5,60,0,0,18.75,81.25,100
img15.jpg,40,75,10,60,50,5,0,47,20,20,0,32.7,30,75,0,0,14.29,85.71,100
img16.jpg,40,80,10,60,20,10,0,21,20,10,0,27.1,20,80,0,0,7.69,92.31,100
img17.jpg,40,80,10,70,0,10,10,53,20,10,0,30.3,15,80,0,0,15.38,84.62,100
img18.jpg,20,50,80,40,0,40,50,40,60,20,0,40,40,80,0,0,15.38,84.62,100
img19.jpg,40,80,5,70,15,5,20,25,65,10,5,33.5,22.5,80,6.25,0,25,68.75,87.5
img20.jpg,30,80,5,50,17,5,40,19,65,30,5,34.1,30,80,6.25,0,25,68.75,87.5
img21.jpg,30,75,5,50,17,5,10,35,65,30,5,32.2,30,75,5.88,0,17.65,76.47,88.24
img22.jpg,40,75,5,40,27,5,60,29,65,20,5,36.6,34.5,75,7.14,0,7.14,85.71,85.71
img23.jpg,40,70,5,40,16,5,60,24,65,20,5,34.5,32,70,5.88,0,23.53,70.59,88.24
img24.jpg,45,70,5,55,16,5,60,29,65,15,5,36.5,37,70,7.14,0,14.29,78.57,85.71
img25.jpg,50,65,5,55,16,5,0,29,65,15,0,30.5,22.5,65,7.14,0,14.29,78.57,85.71
img26.jpg,30,40,5,50,0,50,0,40,65,15,0,29.5,35,65,7.14,0,14.29,78.57,85.71
img27.jpg,50,40,5,50,0,50,0,47,65,15,0,32.2,43.5,65,7.14,0,14.29,78.57,85.71
img28.jpg,50,40,5,50,20,50,0,33,65,15,0,32.8,36.5,65,11.76,11.76,35.29,41.18,76.47
img29.jpg,70,20,80,50,29,90,70,57,70,15,15,55.1,63.5,90,12.5,6.25,37.5,43.75,75
img30.jpg,30,40,5,25,0,40,10,15,50,10,0,22.5,20,50,21.43,0,21.43,57.14,57.14
img31.jpg,30,30,5,20,0,40,10,0,50,10,0,19.5,15,50,27.27,0,18.18,54.55,45.45
img32.jpg,30,30,3,30,0,40,20,13,50,10,0,22.6,25,50,16.67,0,0,83.33,66.67
img33.jpg,50,25,3,40,20,45,20,20,50,10,3,28.3,22.5,50,16.67,0,0,83.33,66.67
img34.jpg,40,25,3,40,0,30,20,0,50,30,0,23.8,27.5,50,13.33,0,26.67,60,73.33
img35.jpg,40,25,3,50,0,30,20,15,50,30,0,26.3,27.5,50,21.43,0,21.43,57.14,57.14
img36.jpg,50,20,3,20,20,20,10,14,50,15,3,22.2,20,50,35.71,0,0,64.29,28.57
img37.jpg,40,30,3,30,15,20,10,27,50,10,3,23.5,23.5,50,21.43,0,0,78.57,57.14
img38.jpg,50,20,5,40,0,20,0,67,30,10,0,24.2,20,67,21.43,0,0,78.57,57.14
img39.jpg,40,20,5,60,20,5,20,27,30,10,5,23.7,20,60,15.38,0,30.77,53.85,69.23
img40.jpg,50,20,5,40,20,5,20,14,30,10,5,21.4,20,50,8.33,0,25,66.67,83.33
img41.jpg,40,20,5,60,20,5,20,27,80,20,5,29.7,20,80,9.09,0,27.27,63.64,81.82
img42.jpg,30,20,5,60,20,5,20,15,80,15,5,27,20,80,15.38,0,30.77,53.85,69.23
img43.jpg,30,20,5,40,20,20,20,15,8,10,5,18.8,20,40,25,0,25,50,50
img44.jpg,30,20,5,40,30,20,20,13,8,10,5,19.6,20,40,20,0,20,60,60
img45.jpg,30,20,5,40,30,20,20,13,8,20,5,20.6,20,40,13.33,0,26.67,60,73.33
img46.jpg,30,20,5,30,30,2,20,19,8,10,2,17.4,19.5,30,15.38,0,15.38,69.23,69.23
img47.jpg,20,35,3,20,20,2,0,17,8,10,0,13.5,13.5,35,16.67,0,16.67,66.67,66.67
img48.jpg,20,20,50,40,0,20,10,0,8,80,0,24.8,20,80,20,0,0,80,60
img49.jpg,20,20,45,10,0,20,0,13,8,70,0,20.6,16.5,70,13.33,0,26.67,60,73.33
img50.jpg,40,30,5,30,22,10,10,33,70,30,5,28,30,70,10,0,10,80,80
img51.jpg,40,20,10,20,0,0,10,0,50,40,0,19,15,50,0,100,0,0,100
img52.jpg,40,20,10,10,0,0,0,0,50,40,0,17,10,50,5.26,84.21,0,10.53,89.47
img53.jpg,40,25,10,5,0,5,0,0,50,40,0,17.5,7.5,50,10,55,0,35,80
img54.jpg,50,25,8,5,0,2,0,0,50,50,0,19,6.5,50,25,0,0,75,50
img55.jpg,50,25,8,5,0,2,0,0,50,50,0,19,6.5,50,29.41,0,0,70.59,41.18
img56.jpg,50,30,7,5,0,2,0,0,50,50,0,19.4,6,50,26.67,0,0,73.33,46.67
img57.jpg,40,20,7,10,0,2,0,0,50,50,0,17.9,8.5,50,25,0,0,75,50
img58.jpg,40,20,7,5,0,2,0,0,50,50,0,17.4,6,50,25,0,0,75,50
img59.jpg,40,20,7,0,0,15,0,0,50,50,0,18.2,11,50,29.41,0,0,70.59,41.18
img60.jpg,30,30,10,20,0,10,5,20,40,70,0,23.5,20,70,22.22,0,0,77.78,55.56
img61.jpg,40,30,10,20,20,30,30,11,80,30,10,30.1,30,80,16.67,0,0,83.33,66.67
img62.jpg,40,30,10,30,0,30,10,0,80,30,0,26,30,80,16.67,0,0,83.33,66.67
img63.jpg,40,30,9,40,13,30,10,11,80,35,9,29.8,30,80,22.22,0,0,77.78,55.56
img64.jpg,40,30,9,10,0,10,10,0,80,30,0,21.9,10,80,27.78,0,0,72.22,44.44
img65.jpg,30,20,9,10,0,10,10,0,80,30,0,19.9,10,80,29.41,0,0,70.59,41.18
img66.jpg,30,20,9,10,0,10,10,0,80,35,0,20.4,10,80,29.41,0,0,70.59,41.18
img67.jpg,20,70,90,35,0,90,30,0,99,80,0,51.4,52.5,99,21.05,0,15.79,63.16,57.89
img68.jpg,50,40,30,50,0,80,60,5,99,60,0,47.4,50,99,23.53,0,11.76,64.71,52.94
img69.jpg,50,40,30,40,0,80,60,13,99,60,0,47.2,45,99,23.53,0,5.88,70.59,52.94
img70.jpg,60,45,30,50,20,80,100,44,99,60,20,58.8,55,100,22.22,0,11.11,66.67,55.56
img71.jpg,70,55,10,65,40,80,100,38,99,30,10,58.7,60,100,25,0,20,55,50
img72.jpg,70,40,10,70,40,80,100,33,99,30,10,57.2,55,100,10,0,80,10,80
img73.jpg,30,40,10,40,0,60,60,38,30,30,0,33.8,34,60,6.67,60,33.33,0,86.67
img74.jpg,60,40,10,30,20,60,90,17,80,30,10,43.7,35,90,5.26,47.37,31.58,15.79,89.47
img75.jpg,60,50,10,20,20,60,90,17,80,20,10,42.7,35,90,10,35,45,10,80
img76.jpg,60,60,10,10,20,60,90,11,80,20,10,42.1,40,90,0,0,85.71,14.29,100
img77.jpg,60,60,10,20,40,60,90,11,80,20,10,45.1,50,90,0,22.22,66.67,11.11,100
img78.jpg,50,60,10,20,0,60,90,11,80,20,0,40.1,35,90,0,11.11,77.78,11.11,100
img79.jpg,50,70,10,50,20,60,90,39,80,15,10,48.4,50,90,0,0,89.47,10.53,100
img80.jpg,50,65,10,30,20,60,90,39,80,15,10,45.9,44.5,90,0,0,95,5,100
img81.jpg,60,70,10,40,0,60,90,11,80,15,0,43.6,50,90,0,0,90,10,100
img82.jpg,20,30,1,5,0,20,10,0,30,88,0,20.4,15,88,0,0,89.47,10.53,100
img83.jpg,60,40,10,20,40,50,100,22,30,20,10,39.2,35,100,5.26,0,84.21,10.53,89.47
img84.jpg,60,60,10,30,15,50,100,39,30,25,10,41.9,34.5,100,0,0,70.59,29.41,100
img85.jpg,40,55,10,20,15,50,100,22,30,25,10,36.7,27.5,100,0,0,72.22,27.78,100
img86.jpg,50,60,10,30,15,70,100,33,30,25,10,42.3,31.5,100,0,0,70.59,29.41,100
img87.jpg,50,60,10,30,40,70,100,28,30,15,10,43.3,35,100,0,0,76.47,23.53,100
img88.jpg,40,60,10,20,40,90,100,22,30,15,10,42.7,35,100,0,0,75,25,100
img89.jpg,40,60,10,10,40,90,100,11,30,25,10,41.6,35,100,0,0,64.29,35.71,100
img90.jpg,50,60,10,30,40,70,100,33,30,30,10,45.3,36.5,100,0,0,64.29,35.71,100
img91.jpg,80,50,10,40,40,70,100,50,40,60,10,54,50,100,0,0,64.29,35.71,100
img92.jpg,50,50,10,40,40,70,100,22,40,35,10,45.7,40,100,0,0,68.75,31.25,100
img93.jpg,70,40,10,50,60,70,100,28,40,35,10,50.3,45,100,0,0,75,25,100
img94.jpg,70,60,10,60,40,70,100,28,40,30,10,50.8,50,100,0,0,75,25,100
img95.jpg,20,70,10,20,15,70,100,29,40,80,10,45.4,34.5,100,0,0,68.75,31.25,100
img96.jpg,40,65,5,30,20,10,100,29,99,40,5,43.8,35,100,0,0,73.33,26.67,100
img97.jpg,40,20,5,10,0,30,0,5,30,5,0,14.5,7.5,40,0,0,77.78,22.22,100
img98.jpg,40,30,10,5,0,10,10,0,30,10,0,14.5,10,40,0,0,76.47,23.53,100
img99.jpg,30,30,10,5,0,5,10,13,30,15,0,14.8,11.5,30,0,0,71.43,28.57,100
img100.jpg,50,40,10,20,20,40,100,26,30,40,10,37.6,35,100,10,0,80,10,80