,expert1,expert2,expert3,expert4,expert5,expert6,expert7,expert8,expert9,expert10,system,Min,Max,Mean,Median
img1.jpg,40.00,20.00,10.00,20.00,30.00,10.00,10.00,43.00,20.00,20.00,100.00,10.00,43.00,22.30,20.00
img2.jpg,20.00,20.00,0.00,60.00,0.00,5.00,0.00,11.00,50.00,20.00,100.00,0.00,60.00,18.60,15.50
img3.jpg,70.00,80.00,30.00,60.00,0.00,40.00,90.00,22.00,70.00,20.00,100.00,0.00,90.00,48.20,50.00
img4.jpg,50.00,80.00,30.00,60.00,0.00,10.00,0.00,22.00,70.00,20.00,69.23,0.00,80.00,34.20,26.00
img5.jpg,30.00,80.00,100.00,80.00,100.00,100.00,100.00,0.00,100.00,90.00,71.43,0.00,100.00,78.00,95.00
img6.jpg,30.00,80.00,10.00,60.00,15.00,10.00,60.00,59.00,86.00,50.00,66.67,10.00,86.00,46.00,54.50
img7.jpg,30.00,80.00,10.00,60.00,0.00,15.00,0.00,22.00,86.00,50.00,63.64,0.00,86.00,35.30,26.00
img8.jpg,30.00,80.00,10.00,70.00,0.00,15.00,0.00,33.00,86.00,60.00,85.71,0.00,86.00,38.40,31.50
img9.jpg,30.00,80.00,10.00,70.00,0.00,15.00,0.00,11.00,86.00,50.00,85.71,0.00,86.00,35.20,22.50
img10.jpg,20.00,80.00,10.00,80.00,0.00,15.00,0.00,0.00,86.00,50.00,86.67,0.00,86.00,34.10,17.50
img11.jpg,20.00,80.00,10.00,60.00,0.00,10.00,0.00,11.00,86.00,50.00,73.33,0.00,86.00,32.70,15.50
img12.jpg,30.00,80.00,10.00,50.00,0.00,10.00,0.00,17.00,90.00,45.00,84.62,0.00,90.00,33.20,23.50
img13.jpg,40.00,75.00,5.00,60.00,20.00,5.00,0.00,33.00,60.00,40.00,57.14,0.00,75.00,33.80,36.50
img14.jpg,40.00,20.00,1.00,40.00,0.00,5.00,0.00,33.00,60.00,25.00,100.00,0.00,60.00,22.40,22.50
img15.jpg,40.00,75.00,10.00,60.00,50.00,5.00,0.00,47.00,20.00,20.00,100.00,0.00,75.00,32.70,30.00
img16.jpg,40.00,80.00,10.00,60.00,20.00,10.00,0.00,21.00,20.00,10.00,100.00,0.00,80.00,27.10,20.00
img17.jpg,40.00,80.00,10.00,70.00,0.00,10.00,10.00,53.00,20.00,10.00,100.00,0.00,80.00,30.30,15.00
img18.jpg,20.00,50.00,80.00,40.00,0.00,40.00,50.00,40.00,60.00,20.00,100.00,0.00,80.00,40.00,40.00
img19.jpg,40.00,80.00,5.00,70.00,15.00,5.00,20.00,40.00,65.00,10.00,87.50,5.00,80.00,35.00,30.00
img20.jpg,30.00,80.00,5.00,50.00,17.00,5.00,40.00,19.00,65.00,30.00,87.50,5.00,80.00,34.10,30.00
img21.jpg,30.00,75.00,5.00,50.00,17.00,5.00,10.00,35.00,65.00,30.00,88.24,5.00,75.00,32.20,30.00
img22.jpg,40.00,75.00,5.00,40.00,27.00,5.00,60.00,29.00,65.00,20.00,85.71,5.00,75.00,36.60,34.50
img23.jpg,40.00,70.00,5.00,40.00,16.00,5.00,60.00,24.00,65.00,20.00,88.24,5.00,70.00,34.50,32.00
img24.jpg,45.00,70.00,5.00,55.00,16.00,5.00,60.00,29.00,65.00,15.00,85.71,5.00,70.00,36.50,37.00
img25.jpg,50.00,65.00,5.00,55.00,16.00,5.00,0.00,29.00,65.00,15.00,85.71,0.00,65.00,30.50,22.50
img26.jpg,30.00,40.00,5.00,50.00,0.00,50.00,0.00,40.00,65.00,15.00,85.71,0.00,65.00,29.50,35.00
img27.jpg,50.00,40.00,5.00,50.00,0.00,50.00,0.00,47.00,65.00,15.00,85.71,0.00,65.00,32.20,43.50
img28.jpg,50.00,40.00,5.00,50.00,20.00,50.00,0.00,33.00,65.00,15.00,76.47,0.00,65.00,32.80,36.50
img29.jpg,70.00,20.00,80.00,50.00,29.00,90.00,70.00,57.00,70.00,15.00,75.00,15.00,90.00,55.10,63.50
img30.jpg,30.00,40.00,5.00,25.00,0.00,40.00,10.00,15.00,50.00,10.00,57.14,0.00,50.00,22.50,20.00
img31.jpg,30.00,30.00,5.00,20.00,0.00,40.00,10.00,0.00,50.00,10.00,45.45,0.00,50.00,19.50,15.00
img32.jpg,30.00,30.00,3.00,30.00,0.00,40.00,20.00,13.00,50.00,10.00,66.67,0.00,50.00,22.60,25.00
img33.jpg,50.00,25.00,3.00,40.00,20.00,45.00,20.00,20.00,50.00,10.00,66.67,3.00,50.00,28.30,22.50
img34.jpg,40.00,25.00,3.00,40.00,0.00,30.00,20.00,0.00,50.00,30.00,73.33,0.00,50.00,23.80,27.50
img35.jpg,40.00,25.00,3.00,50.00,0.00,30.00,20.00,15.00,50.00,30.00,57.14,0.00,50.00,26.30,27.50
img36.jpg,50.00,20.00,3.00,20.00,20.00,20.00,10.00,14.00,50.00,15.00,28.57,3.00,50.00,22.20,20.00
img37.jpg,40.00,30.00,3.00,30.00,15.00,20.00,10.00,27.00,50.00,10.00,57.14,3.00,50.00,23.50,23.50
img38.jpg,50.00,20.00,5.00,40.00,0.00,20.00,0.00,67.00,30.00,10.00,57.14,0.00,67.00,24.20,20.00
img39.jpg,40.00,20.00,5.00,60.00,20.00,5.00,20.00,27.00,30.00,10.00,69.23,5.00,60.00,23.70,20.00
img40.jpg,50.00,20.00,5.00,40.00,20.00,5.00,20.00,14.00,30.00,10.00,83.33,5.00,50.00,21.40,20.00
img41.jpg,40.00,20.00,5.00,60.00,20.00,5.00,20.00,27.00,80.00,20.00,81.82,5.00,80.00,29.70,20.00
img42.jpg,30.00,20.00,5.00,60.00,20.00,5.00,20.00,15.00,80.00,15.00,69.23,5.00,80.00,27.00,20.00
img43.jpg,30.00,20.00,5.00,40.00,20.00,20.00,20.00,15.00,8.00,10.00,50.00,5.00,40.00,18.80,20.00
img44.jpg,30.00,20.00,5.00,40.00,30.00,20.00,20.00,13.00,8.00,10.00,60.00,5.00,40.00,19.60,20.00
img45.jpg,30.00,20.00,5.00,40.00,30.00,20.00,20.00,13.00,8.00,20.00,73.33,5.00,40.00,20.60,20.00
img46.jpg,30.00,20.00,5.00,30.00,30.00,2.00,20.00,19.00,8.00,10.00,69.23,2.00,30.00,17.40,19.50
img47.jpg,20.00,35.00,3.00,20.00,20.00,2.00,0.00,17.00,8.00,10.00,66.67,0.00,35.00,13.50,13.50
img48.jpg,20.00,20.00,50.00,40.00,0.00,20.00,10.00,0.00,8.00,80.00,60.00,0.00,80.00,24.80,20.00
img49.jpg,20.00,20.00,45.00,10.00,0.00,20.00,0.00,13.00,8.00,70.00,73.33,0.00,70.00,20.60,16.50
img50.jpg,40.00,30.00,5.00,30.00,22.00,10.00,10.00,33.00,70.00,30.00,80.00,5.00,70.00,28.00,30.00
img51.jpg,40.00,20.00,10.00,20.00,0.00,0.00,10.00,0.00,50.00,40.00,100.00,0.00,50.00,19.00,15.00
img52.jpg,40.00,20.00,10.00,10.00,0.00,0.00,0.00,0.00,50.00,40.00,89.47,0.00,50.00,17.00,10.00
img53.jpg,40.00,25.00,10.00,5.00,0.00,5.00,0.00,0.00,50.00,40.00,80.00,0.00,50.00,17.50,7.50
img54.jpg,50.00,25.00,8.00,5.00,0.00,2.00,0.00,0.00,50.00,50.00,50.00,0.00,50.00,19.00,6.50
img55.jpg,50.00,25.00,8.00,5.00,0.00,2.00,0.00,0.00,50.00,50.00,41.18,0.00,50.00,19.00,6.50
img56.jpg,50.00,30.00,7.00,5.00,0.00,2.00,0.00,0.00,50.00,50.00,46.67,0.00,50.00,19.40,6.00
img57.jpg,40.00,20.00,7.00,10.00,0.00,2.00,0.00,0.00,50.00,50.00,50.00,0.00,50.00,17.90,8.50
img58.jpg,40.00,20.00,7.00,5.00,0.00,2.00,0.00,0.00,50.00,50.00,50.00,0.00,50.00,17.40,6.00
img59.jpg,40.00,20.00,7.00,0.00,0.00,15.00,0.00,0.00,50.00,50.00,41.18,0.00,50.00,18.20,11.00
img60.jpg,30.00,30.00,10.00,20.00,0.00,10.00,5.00,20.00,40.00,70.00,55.56,0.00,70.00,23.50,20.00
img61.jpg,40.00,20.00,10.00,20.00,20.00,30.00,30.00,11.00,80.00,30.00,66.67,10.00,80.00,29.10,25.00
img62.jpg,40.00,30.00,10.00,30.00,0.00,30.00,10.00,0.00,80.00,30.00,66.67,0.00,80.00,26.00,30.00
img63.jpg,40.00,30.00,9.00,40.00,13.00,30.00,10.00,11.00,80.00,35.00,55.56,9.00,80.00,29.80,30.00
img64.jpg,40.00,30.00,9.00,10.00,0.00,10.00,10.00,0.00,80.00,30.00,44.44,0.00,80.00,21.90,10.00
img65.jpg,30.00,20.00,9.00,10.00,0.00,10.00,10.00,0.00,80.00,30.00,41.18,0.00,80.00,19.90,10.00
img66.jpg,30.00,20.00,9.00,10.00,0.00,10.00,10.00,0.00,80.00,35.00,41.18,0.00,80.00,20.40,10.00
img67.jpg,20.00,70.00,90.00,35.00,0.00,90.00,30.00,0.00,99.00,80.00,57.89,0.00,99.00,51.40,52.50
img68.jpg,50.00,40.00,30.00,50.00,0.00,80.00,60.00,5.00,99.00,60.00,52.94,0.00,99.00,47.40,50.00
img69.jpg,50.00,40.00,30.00,40.00,0.00,80.00,60.00,13.00,99.00,60.00,52.94,0.00,99.00,47.20,45.00
img70.jpg,60.00,45.00,30.00,50.00,20.00,80.00,100.00,44.00,99.00,60.00,55.56,20.00,100.00,58.80,55.00
img71.jpg,70.00,55.00,10.00,65.00,40.00,80.00,100.00,38.00,99.00,30.00,50.00,10.00,100.00,58.70,60.00
img72.jpg,70.00,40.00,10.00,70.00,40.00,80.00,100.00,33.00,99.00,30.00,80.00,10.00,100.00,57.20,55.00
img73.jpg,30.00,40.00,10.00,40.00,0.00,60.00,60.00,38.00,30.00,30.00,86.67,0.00,60.00,33.80,34.00
img74.jpg,60.00,40.00,10.00,30.00,20.00,60.00,90.00,17.00,80.00,30.00,89.47,10.00,90.00,43.70,35.00
img75.jpg,60.00,50.00,10.00,20.00,20.00,60.00,90.00,17.00,80.00,20.00,80.00,10.00,90.00,42.70,35.00
img76.jpg,60.00,60.00,10.00,10.00,20.00,60.00,90.00,11.00,80.00,20.00,100.00,10.00,90.00,42.10,40.00
img77.jpg,60.00,60.00,10.00,20.00,40.00,60.00,90.00,11.00,80.00,20.00,100.00,10.00,90.00,45.10,50.00
img78.jpg,50.00,60.00,10.00,20.00,0.00,60.00,90.00,11.00,80.00,20.00,100.00,0.00,90.00,40.10,35.00
img79.jpg,50.00,70.00,10.00,50.00,20.00,60.00,90.00,39.00,80.00,15.00,100.00,10.00,90.00,48.40,50.00
img80.jpg,50.00,65.00,10.00,30.00,20.00,60.00,90.00,39.00,80.00,15.00,100.00,10.00,90.00,45.90,44.50
img81.jpg,60.00,70.00,10.00,40.00,0.00,60.00,90.00,11.00,80.00,15.00,100.00,0.00,90.00,43.60,50.00
img82.jpg,20.00,30.00,1.00,5.00,0.00,20.00,10.00,0.00,30.00,88.00,100.00,0.00,88.00,20.40,15.00
img83.jpg,60.00,40.00,10.00,20.00,40.00,50.00,100.00,22.00,30.00,20.00,89.47,10.00,100.00,39.20,35.00
img84.jpg,60.00,60.00,10.00,30.00,15.00,50.00,100.00,39.00,30.00,25.00,100.00,10.00,100.00,41.90,34.50
img85.jpg,40.00,55.00,10.00,20.00,15.00,50.00,100.00,22.00,30.00,25.00,100.00,10.00,100.00,36.70,27.50
img86.jpg,50.00,60.00,10.00,30.00,15.00,70.00,100.00,33.00,30.00,25.00,100.00,10.00,100.00,42.30,31.50
img87.jpg,50.00,60.00,10.00,30.00,40.00,70.00,100.00,28.00,30.00,15.00,100.00,10.00,100.00,43.30,35.00
img88.jpg,40.00,60.00,10.00,20.00,40.00,90.00,100.00,22.00,30.00,15.00,100.00,10.00,100.00,42.70,35.00
img89.jpg,40.00,60.00,10.00,10.00,40.00,90.00,100.00,11.00,30.00,25.00,100.00,10.00,100.00,41.60,35.00
img90.jpg,50.00,60.00,10.00,30.00,40.00,70.00,100.00,33.00,30.00,30.00,100.00,10.00,100.00,45.30,36.50
img91.jpg,80.00,50.00,10.00,40.00,40.00,70.00,100.00,50.00,40.00,60.00,100.00,10.00,100.00,54.00,50.00
img92.jpg,50.00,50.00,10.00,40.00,40.00,70.00,100.00,22.00,40.00,35.00,100.00,10.00,100.00,45.70,40.00
img93.jpg,70.00,40.00,10.00,50.00,60.00,70.00,100.00,28.00,40.00,35.00,100.00,10.00,100.00,50.30,45.00
img94.jpg,70.00,60.00,10.00,60.00,40.00,70.00,100.00,28.00,40.00,30.00,100.00,10.00,100.00,50.80,50.00
img95.jpg,20.00,70.00,10.00,20.00,15.00,70.00,100.00,29.00,40.00,80.00,100.00,10.00,100.00,45.40,34.50
img96.jpg,40.00,65.00,5.00,30.00,20.00,10.00,100.00,29.00,99.00,40.00,100.00,5.00,100.00,43.80,35.00
img97.jpg,40.00,20.00,5.00,10.00,0.00,30.00,0.00,5.00,30.00,5.00,100.00,0.00,40.00,14.50,7.50
img98.jpg,40.00,30.00,10.00,5.00,0.00,10.00,10.00,0.00,30.00,10.00,100.00,0.00,40.00,14.50,10.00
img99.jpg,30.00,30.00,10.00,5.00,0.00,5.00,10.00,13.00,30.00,15.00,100.00,0.00,30.00,14.80,11.50
img100.jpg,50.00,40.00,10.00,20.00,20.00,40.00,100.00,26.00,30.00,30.00,80.00,10.00,100.00,36.60,30.00
